@@,name,position
->,Timothy Baker->Timothy Crookall,Minister for Infrastructure
->,Howard Quayle->Alex Allinson,Minister for Enterprise
->,Graham Cregeen->Jane Poole-Wilson,Minister for Justice and Home Affairs
->,Geoffrey Boot->Clare Barber,"Minister for Environment, Food and Agriculture"
->,David Ashford->Lawrie Hooper,Minister for Health and Social Care
->,Alfred Cannan,Minister for the Treasury->Chief Minister
->,Alexander J Allinson->Julie Edge,"Minister for Education, Sport and Culture"
---,Ray Harmer,Minister for Policy and Reform
---,Howard Quayle,Chief Minister
+++,Kate Lord-Brennan,Minister for Cabinet Office
+++,"David Ashford MBE,",Minister for the Treasury
