wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q106808901,Julie Edge,Julie Edge,female,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,Q107833024,"Minister for Education, Sport and Culture",Q106808901-3102A5BA-0208-4731-87BE-764ECCC7128C
Q106808905,Lawrie Hooper,Lawrie Hooper,male,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,Q107832358,Minister for Health and Social Care,Q106808905-3F99E234-DDB9-4313-B548-E8ED6845C832
Q107833017,Alex Allinson,Alexander J Allinson,male,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,Q107832628,Minister for Enterprise,Q107833017-9D989F3D-243C-4A28-B092-D7A771039B1E
Q108933969,Clare Barber,Clare Barber,female,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,Q107832352,"Minister for Environment, Food and Agriculture",Q108933969-62E7932E-34BA-4477-8AB2-7D75F45BE30B
Q25752002,Alfred Cannan,Alfred Cannan,male,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,Q1072343,Chief Minister,Q25752002-dd50a902-4c1e-c5d1-a0d1-b803aeb28f66
Q43549347,Jane Poole-Wilson,Jane Poole-Wilson,female,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,Q107832447,Minister for Justice and Home Affairs,Q43549347-70E237A2-62DE-4B11-9739-111574671EA9
Q50676528,Kate Lord-Brennan,Kate Lord-Brennan,female,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,Q108933953,Minister for Cabinet Office,Q50676528-EAA3F99D-64C5-4418-907B-F333E6857CC9
Q54935545,David Ashford,David Ashford,male,1977-01-01,9,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,Q25712497,Minister for the Treasury,Q54935545-C7E65648-5DB6-401D-B2A2-9F5A622E0E6C
Q7803374,Timothy Crookall,Tim Crookall,male,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,Q107832859,Minister for Infrastructure,Q7803374-A7AC6C62-67E5-4E3B-83B9-86AEF51ED327
